id;title;author;year;type;publisher;artist;quality;price;location;genre;weight;pages;isbn;description;image;notes;user_id
1899;St. Giles' Cathedral: The High Kirk of Edinburgh;Whitley, H. C.;1969;Staple-bound;Pitkin Pictorials;N/A;Like New;20;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;25;9;Pictures and background information on St. Giles' Cathedral, the high Kirk of Edinburgh, including a floor plan of the structure.;1899;"\"8-6-81\" written inside cover. 2 days after Aaron was born.";2
1900;Coventry Cathedral;Williams, H. C. N.;1971;Staple-bound;Pitkin Pictorials;N/A;Good;10;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;25;N;NULL;1900;"\"July 23, 1981\" written inside. ";2
98;Age and Expansion, The: Europe and the World 1559 - 1660;Trevor-Roper, Hugh ;1968;Hardcover w/ jacket;McGraw-Hill Book Company;NULL;Used, Fair ;40;Sycamore: Bottom;Art, History;NULL;NULL;N;NULL;98;NULL;2
1677;Ed Fella: A Life in Images;Cabianca, David;2023;Paperback;Unit Editions;Fella, Ed;Like New;80;Aaron & Tina's;Graphic Design, Typography, Monograph;2.21;388;9;"Ed Fella: A Life in Images includes a wide selection from his 60 years of work across, effectively, his two careers.  A 316pp visual essay forms the centrepiece of the book. Designed by Fella in his own inimitable style, this is a visual history of a remarkable life in images, as told by the man himself.  This section contains a wide range of Fella's artworks, sketchbook pages and collages\\; examples from various illustration and print ad commissions\\; Polaroids and photographs\\; alongside many of his instantly-recognisable type-based flyers.  The book also features an introduction by Katherine McCoy\\; essays by Lorraine Wild, Rick Poynor and David Cabianca - focusing on Fella's long career, his extensive sketchbook work and his flyers, respectively - and an Afterword by his daughter, Andrea Fella.";1677;First edition, Kickstarter project;2
1670;Saul Bass: A Life in Film and Design;Bass, Jennifer;2011;Hardcover with jacket;Laurence King Publishing;Bass, Saul;Like New;70;Aaron & Tina's;Graphic Design, Typography, Branding, Monograph;6.79;428;9;This is the first book to be published on one of the greatest American designers of the 20th Century, who was as famous for his work in film as for his corporate identity and graphic work. With more than 1,400 illustrations, many of them never published before and written by the leading design historian Pat Kirkham, this is the definitive study that design and film enthusiasts have been eagerly anticipating. Saul Bass (1920-1996) created some of the most compelling images of American post-war visual culture. Having extended the remit of graphic design to include film titles, he went on to transform the genre. His best known works include a series of unforgettable posters and title sequences for films such as Alfred Hitchcock's Vertigo and Otto Preminger's The Man With The Golden Arm and Anatomy of a Murder. He also created some of the most famous logos and corporate identity campaigns of the century, including those for major companies such as AT&T, Quaker Oats, United Airlines and Minolta. His wife and collaborator, Elaine, joined the Bass office in the late 1950s. Together they created an impressive series of award-winning short films, including the Oscar-winning Why Man Creates, as well as an equally impressive series of film titles, ranging from Stanley Kubrick s Spartacus in the early 1960s to Martin Scorsese s Cape Fear and Casino in the 1990s. Designed by Jennifer Bass, Saul Bass's daughter and written by distinguished design historian Pat Kirkham who knew Saul Bass personally, this book is full of images from the Bass archive, providing an in depth account of one of the leading graphic artists of the 20th century.;1670;Birthday present from Tina;2
1671;Visual Harmony: Proportion in Graphic Design;N/A;2016;Hardcover;SendPoints;Various;Like New;40;Aaron & Tina's;Graphic Design, Typography, Compilation;2.29;240;9;Proportion as a basic element in the field of design has been widely researched and studied. Taking mathematical theories, the olden ratio, and sequence principles into consideration in design and art often helps improve visual aesthetics, and the beauty of well-used proportions can be found in a variety of design projects. Visual Harmony presents outstanding design work highlighting well-crafted proportions, presenting projects that will be solid references to readers worldwide. It elaborates on the subject with information in the form of descriptive text and diagrams. Brand logos, visual identities, illustrations, and other artistic works featured in this book stand out from others because of the designers' in-depth understanding of proportions, reflecting the importance of rational thinking in the ever-changing creative world.;1671;NULL;2
1673;Paula Scher: Works;"Brook, Tony\\; Adrian Shaughnessy";2017;Hardcover with Box;Unit Editions;Scher, Paula;Like New;4000;Aaron & Tina's;Graphic Design, Typography, Branding, Monograph;5;520;9;"Paula Scher: Works is the definitive visual record of the groundbreaking graphic designer and Pentagram partner. Published by Unit Editions, the 522-page book presents the most extensive monograph of Scher’s career to date, featuring over 300 projects from from her early days in the music industry as an art director with CBS and Atlantic Records, through the launch of her first studio, Koppel & Scher, to her 25-year engagement with Pentagram.  Co-edited by Tony Brook and Adrian Shaughnessy, the book organizes Scher’s work chronologically into several thematic sections. It opens with a long interview with the designer, then moves into her record covers from the 1970s and 80s. Central chapters look at her innovative approach to identity design and environmental graphics and its impact on contemporary New York’s urban fabric—as seen in work for clients from MoMA to Charter Schools\\; from the High Line to Shake Shack—as well as her logos for global corporations and cultural institutions.  A large section on authorship is devoted to the designer’s socially and politically-motivated posters, New York Times Op-Ed illustrations and campaign work. The book also provides the most up-to-date look at Scher’s idiosyncratic hand-painted maps, a prolific artistic practice that complements her still-growing graphic legacy, as well as her longstanding collaboration with The Public Theater, which spans over 20 years.";1673;1/100 - Special screen printed box and signed by the artist. ;2
1674;MAS Context: Issue 19: Bold;MAS Studio;2016;Paperback;MAS Context;Normal (design firm);Like New;80;Aaron & Tina's;Architecture, Design, Publication, Urban Planning,;1.8;318;N;Welcome to our Bold issue. This issue features eighteen projects that explore new possibilities for the city of Chicago. Generated by both emerging and established Chicago-based architects and designers, these projects rethink the future of the city and, at the same time, explore the agency of the architect in shaping these scenarios. The projects, generated without a client, operate fully aware of the constraints and realities of Chicago with the intention to engage in fruitful conversations with public and private agencies to shape its future. Ultimately, while these projects focus on the city of Chicago, the ideas behind their architectural and urban strategies can open up new areas of exploration that can be extrapolated to diverse contexts. The projects featured in the issue were part of the exhibition BOLD: Alternative Scenarios for Chicago curated by Iker Gil and included in the inaugural Chicago Architecture Biennial.;1674;NULL;2
1675;The Market Gardener;Fortier, Jean-Martin;2014;Paperback;New Society Publishers;Bilodeau, Marie;Good;10;Aaron & Tina's;Agriculture, Gardening, Farming, Nature;1.1;224;9;NULL;1675;NULL;2
1901;The Mayflower and the Pilgrim Fathers;Hedley, Olwen;1970;Staple-bound;Pitkin Pictorials;N/A;Good;10;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;32;9;Published by the British Tourist Authority to commemorate the 350th anniversary of the sailing of The Mayflower in 1620.;1901;NULL;2
1676;Irving Penn: Centennial;"Hambourg, Maria Morris\\; Jeff L. Rosenheim";2017;Hardcover with jacket;Metropolitan Museum of Art;Penn, Irving;Like New;270;Aaron & Tina's;Photography, Culture, Monograph;6.8;372;9;"Irving Penn (1917-2009) was among the most esteemed and influential photographers of the twentieth century. Over the course of a nearly seventy-year career, he mastered a pared-down aesthetic of studio photography that is distinguished for its meticulous attention to composition, nuance, and detail. This indispensable book features one of the largest selections of Penn's photographers ever compiled–nearly 300 in all–including famous and beloved images as well as works that have never been published.  Celebrating the centennial of Penn's birth, this lavish volume spans the entirety of his groundbreaking career. An enlightening introduction situates his work in the context of the various artistic, social, and political environments and events that affected the content of his photographs. Lively essays acquaint readers with Penn's primary subjects and campaigns, including early documentary scenes and imagery\\; portraits of cultural figures and celebrities\\; fashion\\; female nudes\\; peoples of Peru, Dahomey (Benin), New Guinea, and Morocco\\; and still lifes. Rounding out the book are discussions of Penn's advertising pictures and his painstaking printing processes, as well as an illustrated chronology. Irving Penn: Centennialis essential for any fan of this artist's work or of the history of twentieth-century photography.";1676;First edition;2
1679;Studio Culture Now;Sinclair, Mark;2020;Paperback;Unit Editions;Various;Like New;80;Aaron & Tina's;Graphic Design, Agencies, Compilation, Articles;1.72;491;9;"This book is the sequel to \"Studio Culture: The secret life of the graphic design studio\". Published in 2009, it sold out quickly. It was also the first book from the newly formed Unit Editions, and its success helped to establish the imprint in the small world of design book publishing. Over the years we've been asked to reprint the original book. But it was clear to us that much of the content was out of date. The first \"Studio Culture\" book didn't cover many of the major changes in the design landscape that we now take for granted: the importance of social media\\; the use of coding in visual design\\; timely calls for more diversity\\; and that's before we mention the global trauma of the coronavirus pandemic of 2020. From today's vantage point, the world of 2009 feels like ancient history. It became apparent that our only option was to make an entirely new book. One that took into account the changes that have affected everyone who works in design, and the challenges facing students emerging into the uncertain terrain of professional graphic design. An extensive 'Studio Intelligence' section provides a checklist covering vital topics such as the benefits and pitfalls of remote working, space sharing, professional help and social media policies.";1679;First edition. ;2
1680;The Anarchist's Workbench;Schwarz, Christopher;2020;Hardcover;Lost Art Press;Schwarz, Christopher;Very Good;60;Aaron & Tina's;Carpentry, Woodworking, Design;1.2;323;9;"The book is on the one hand - a detailed plan for a simple workbench that can be built using construction lumber and basic woodworking tools. But it's also the story of Christopher Schwarz's 20-year journey researching, building and refining historical workbenches until there was nothing left to improve. Along the way, Schwarz quits his corporate job, builds a publishing company founded on the principles of mutualism and moves into an 1896 German barroom in a red-light district, where he now builds furniture, publishes books and tries to live as an aesthetic anarchist. \"The Anarchist's Workbench\" is the third and final book in the \"anarchist\" series, and it attempts to cut through the immense amount of misinformation about building a proper bench. It helps answer the questions that dog every woodworker: What sort of bench should I build? What wood should I use? What dimensions should it be? And what vises should I attach to it? These questions are answered with the perspective of 2,000 years of workbench history";1680;NULL;2
1681;Richard Stark's Parker, Vol. 1: The Hunter;Stark, Richard;2009;Hardcover with jacket;"IDW Publishing\\;";Cooke, Darwyn;Very Good;30;Aaron & Tina's;Graphic Novel, Mystery, Thriller;1.28;160;9;Darwyn Cooke’s beautifully stylized artwork perfectly compliments the hard-hitting action as originally written by legendary crime author Richard Stark. Parker is arguably one of the hardest hard-boiled characters in all of crime fiction and the original novels feature stories and prose that are as uncompromising as he is. This graphic novel adaptation perfectly matches the style and tone of Stark’s noir world.  The Hunter is the story of a man who hits New York head-on like a shotgun blast to the chest. Betrayed by the woman he loved and double-crossed by his partner in crime, Parker makes his way cross-country with only one thought burning in his mind — to coldly exact his revenge and reclaim what was taken from him!;1681;Present from Josh to Aaron;2
1687;Design Impact, Art Center College of Design, a History of Art Center College of Design and the Myriad Ways Its Alumni Shape and Inform the Vision of Our Global Culture;Art Center College of Design;2004;Box Set, Hardcover;Art Center College of Design;Various;Good;10;Aaron & Tina's;Design, Self-Promotion;5.6;93;N;History of Art Center College of Design in Pasadena, CA. Large format with photos & illustrations. Originally came in black box with red titles.;1687;NULL;2
1688;Nikola Tesla’s Patents;Tesla, Nikola;2021;Hardcover;Kronecker Wallis;Tesla, Nikola;Like New;70;Aaron & Tina's;Science, Experiments, History;4;500;N;NULL;1688;First edition, Kickstarter project;2
1689;TD 63-73;Bos, Ben;2015;Hardcover + Slipcase;Unit Editions;Total Design, Spin;Like New;140;Aaron & Tina's;Graphic Design, Typography, Branding, Monograph;3.5;504;9;This book looks at Total Design and its pioneering role in graphic design, from Ben Bos's viewpoint it includes work by Wim Crouwel, Friso Kramer, Benno Wissing and their teams.;1689;First edition;2
1690;Waterweavers, A Chronicle of Rivers;"Jose\\; Alejandro Martin (Ed) Roca";2014;Paperback;Bard Graduate Center;"Jose\\; Alejandro Martin (Ed) Roca";Like New;100;Aaron & Tina's;Art, Fine-Art, Collections, Catalogs, Exhibitions;3;400;9;The exhibition catalogue, Waterweavers: A Chronicle of Rivers, features a selection of visual and textual narratives about Colombian rivers across time, including an essay by the co-curators addressing the river in contemporary Colombian visual and material culture, illustrations of works by the seventeen artists in the exhibition, and excerpts from literary and historical texts, many published for the first time in English, by such acclaimed Colombian authors as Fernanado Zalamea, Tomás Gonzalez, Héctor Abad, José Eustasio Rivera, Gabriel García Márquez, and Alfredo Molano. Renowned graphic designer Irma Boom designed the book;1690;NULL;2
1696;Opticks;Newton, Isaac;2018;Hardcover (Board Book);Kronecker Wallis;Guarro, Laia;Like New;70;Aaron & Tina's;Science, Physics;2;431;N;NULL;1696;Kickstarter project;2
1902;King Richard III;Woodward, George William Otway;1972;Staple-bound;Pitkin Pictorials;N/A;Good;5;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;24;9;NULL;1902;"\"8-8-81 York\" written inside.";2
99;Eighteenth Century Europe In The Age of Enlightenment, The;Cobban, Alfred ;1969;Hardcover w/ jacket;McGraw-Hill;NULL;Used, Fair ;60;Sycamore: Bottom;Art, History;NULL;NULL;N;NULL;99;First Edition;2
100;California: For Health, Pleasure, and Residence.;Nordhoff, Charles;1882;Hardcover;Harper & Brothers;Abbey, Edwin;Fair ;200;Sycamore: Dining Room Cabinet;Guidebook;NULL;NULL;N;NULL;100;"\"William H. Montague, from the estate of Lowell H. Cram. April 1990.\" written inside. Some pages are breaking free from the spine but still look great. Lots of maps and wood engravings, gilt and black-stamped. Go for anywhere between $100-400.";2
1697;Scratching the Surface;Shaughnessy, Adrian;2013;Paperback;Unit Editions;SPIN;Like New;40;Aaron & Tina's;Design, Graphic Design, Criticism;1.8;400;9;"A collection of essays and journalism by Adrian Shaughnessy, focusing mainly on graphic design. Essays include: '2012 Olympic logo ate my hamster'\\; 'Vaughan Oliver - minotaurs in suburban England'\\; and 'The myth of originality and the joy of copying'. The essays have appeared on blogs such as Design Observer, and in publications such as Eye, Creative Review, Design Week and The Wire. Many others have appeared only in tiny circulation publications. The book's introduction opens with a disconcerting question: 'Why would anyone want to read about graphic design?' Despite assertions that 'designers don't read', there has, in recent years, been a huge upsurge of interest in design writing: courses have been established to teach the subject, and many designers now combine design and writing within their practices. In 2003, Adrian Shaughnessy gave up studio life to become an independent designer, consultant, publisher, teacher and writer. He wrote the highly successful How to be a Graphic Designer Without Losing your Soul which has sold 80,000 copies worldwide. Scratching the Surface is a book for anyone who wants to scratch the surface of the cultural zeitgeist to see what's underneath.";1697;NULL;2
1702;SPIN: 360;"Brook, Tony\\; Adrian Shaughnessy";2015;Hardcover with jacket;Unit Editions;SPIN;Like New;100;Aaron & Tina's;Graphic Design, Typography, Branding, Monograph;4;500;N;Spin: 360º is a portrait of one of London’s leading design studios. It is a 520pp monograph that looks in mouth-watering detail at every aspect of Spin’s work in identity, print, moving image, retail, digital and environmental graphics, as well as the studio’s self-directed activities in publishing, curating and collecting. But it isn’t just the usual image dump of work. In fact, it’s the studio monograph reborn for the 21st century: honest, revealing and bursting with specially designed and art-directed content. Above all else, it’s a guide to survival, growth, and maintaining creative excellence over 20 years. A year in the making, Spin: 360º is Unit Editions’ most ambitious book to date. It’s essential reading for anyone who wants to lift the lid on a successful creative studio.;1702;NULL;2
1720;Interpreter of Maladies;Lahiri, Jhumpa;1999;Paperback;Houghton Mifflin;N/A;Used;0;Aaron & Tina's;Fiction, Short Stories;0.6;198;0;With accomplished precision and gentle eloquence, Jhumpa Lahiri traces the crosscurrents set in motion when immigrants, expatriates, and their children arrive, quite literally, at a cultural divide.   A blackout forces a young Indian American couple to make confessions that unravel their tattered domestic peace. An Indian American girl recognizes her cultural identity during a Halloween celebration while the Pakastani civil war rages on television in the background. A latchkey kid with a single working mother finds affinity with a woman from Calcutta. In the title story, an interpreter guides an American family through the India of their ancestors and hears an astonishing confession.  Imbued with the sensual details of Indian culture, these stories speak with passion and wisdom to everyone who has ever felt like a foreigner. Like the interpreter of the title story, Lahiri translates between the strict traditions of her ancestors and a baffling new world.;1720;NULL;2
1721;The Partly Cloudy Patriot;Vowell, Sarah;2003;Paperback;Simon & Schuster;N/A;Good;0;Aaron & Tina's;Literary Criticism, Culture, Essays;0.7;197;9;"From public radio This American Life contributor and self-described “history nerd” Sarah Vowell comes a collection of humorous and personal essays investigating American history, pop culture and Buffy the Vampire Slayer.  In this insightful and funny collection of personal stories Vowell travels through the American past and in doing so ponders a number of curious questions: Why is she happiest when visiting the sites of bloody struggles like Salem or Gettysburg? Why do people always inappropriately compare themselves to Rosa Parks? Why is a bad life in sunny California so much worse than a bad life anywhere else? What is it about the Zen of foul shots? And, in the title piece, why must doubt and internal arguments haunt the sleepless nights of the true patriot?  Her essays confront a wide range of subjects, themes, icons, and historical moments: Ike, Teddy Roosevelt, and Bill Clinton\\; Canadian Mounties and German filmmakers\\; Tom Cruise and Buffy the Vampire Slayer\\; twins and nerds\\; the Gettysburg Address, the State of the Union, and George W. Bush's inauguration.  The result is a teeming and engrossing book, capturing Vowell's memorable wit and her keen social commentary.";1721;NULL;2
1723;Magic Eye II: Now You See it;N/A;1994;Hardcover with jacket;Andrews McMeel Publishing;N/A;Used;0;Aaron & Tina's;Magic, Illusion;1;32;9;People worldwide are adding another dimension to their lives: the third dimension! Thanks to the 3D wonder of Magic Eye, people of all ages find themselves spellbound by the hidden images that suddenly are leaping from book pages, greeting cards, calendars, even T-shirts and mugs. This colorful Magic Eye book guides gazers through 23 different 3D, computer-generated illustrations. Complete instructions, including two detailed viewing techniques, will have them searching for visual surprises through beautifully executed, full-page designs. Expand your Magic Eye vision and watch the wonderful happen!;1723;NULL;2
1724;Magic Eye: A New Way of Looking at the World;N/A;1993;Hardcover with jacket;Andrews McMeel Publishing;N/A;Good;0;Aaron & Tina's;Magic, Illusion;1;32;9;People worldwide are adding another dimension to their lives: the third dimension! Thanks to the 3D wonder of Magic Eye, people of all ages find themselves spellbound by the hidden images that suddenly are leaping from book pages, greeting cards, calendars, even T-shirts and mugs. This colorful Magic Eye book guides gazers through 23 different 3D, computer-generated illustrations. Complete instructions, including two detailed viewing techniques, will have them searching for visual surprises through beautifully executed, full-page designs. Expand your Magic Eye vision and watch the wonderful happen!;1724;NULL;2
1725;The Gay Talese Reader: Portraits and Encounters;Talese, Gay;2003;Paperback;Walker & Company;N/A;Good;0;Aaron & Tina's;Journalism, Fiction, Anthologies;0.8;288;9;NULL;1725;NULL;2
1727;Action Time Vision;"Brook, Tony\\; Russ Bestley";2016;Paperback;Unit Editions;Mackintosh, Callin;Like New;100;Aaron & Tina's;Music, Design, Art;2;320;9;"Action Time Vision: Punk & Post-Punk 7\" Record Sleeves [Unit 26] is a celebration of DIY graphics from the punk and post-punk eras. You might call it outsider graphic design. English";1727;First Edition, edition of 2000;2
1728;Graphic Stamps;"Thomson, Blair\\; Iain Follett";2016;Paperback with jacket;Unit Editions;Various;Like New;225;Aaron & Tina's;Design, Stamp Collecting, Art;2;328;9;NULL;1728;NULL;2
1732;Vaughan Oliver: Archive (‘Materials and fragments’);"Oliver, Vaughan\\; Tony Brook & Adrian Shaughnessy";2018;Softcover + Slipcase (2 Books + Poster);Unit Editions;"Oliver, Vaughan\\; Spin";Like New;600;Aaron & Tina's;Graphic Design, Typography, Monograph, Music;4;432;9;The book is a celebration of the Vaughan Oliver Archive, a treasure house of graphic delights housed at UCA Epsom in the UK. Oliver is the designer who kept the stuff other designers threw proofs, running sheets, paper labels for vinyl records, original artwork for classic album covers, videotapes, books and the weird ephemera that was the source of inspiration for many of his most famous works. Vaughan Archive (‘Materials and fragments’) is arranged around a set of themes — colour, hybrid forms, typography, the body, mystery, etc. It also features a selection of his exquisitely designed press ads, most of them unseen since the day they were published in the music press. Designed by Spin and written by Adrian Shaughnessy, the book features many previously unseen works, including extensive interviews with Oliver, and with contributions from Chris Bigg, his long-standing creative accomplice.;1732;Signed first edition (out of 100). ;2
1733;Andreas Uebele Material;Uebele, Andreas;2017;Lay-Flat Bound;Unit Editions;Uebele, Andreas;Like New;80;Aaron & Tina's;Graphic Design, Typography, Monograph;4.5;654;9;A major presence in contemporary German graphic design, Andreas Uebele trained as an architect, a thread that continues to present itself in much of his work. From the graphics of the Reichstag to the iconic signage of the Vitra campus, his experiments lead to dynamic solutions, while simultaneously maintaining lightness and clarity.  This new book presents 85 of büro uebele's projects through two types of materials: the raw materials from which they emerged, and materials from creative collaborators who've accompanied the studio along the way. These include Matthew Carter, Adrian Frutiger, Massimo Vignelli and Hermann Zapf.;1733;Edition of 1400;2
1734;An A to Z of The Designers Republic;"Anderson, Ian\\; Mark Sinclair";2019;Hardcover with jacket;Unit Editions;The Designers Republic;Like New;640;Aaron & Tina's;Graphic Design, Typography, Monograph;5.5;504;9;The Designers Republic(tm) is the design group that changed design. But there's never been a book that tells its story - until now.  Led by founder and born rebel, Ian Anderson, The Designers Republic(tm) has shaped graphic communication over the past thirty years through rule-defying music work, provocative self-initiated projects and a fierce commitment to conceptual thinking over style. Now, for the first time in book form, Anderson explores the studio's output, and its influence on a generation of graphic designers.  AZTDR(tm) spans over three decades of work - from the studio's earliest designs for the FON label in the mid-1980s and sleeves for Age of Chance, Chakk and Cabaret Voltaire, right up to its recent projects for The Cinematic Orchestra, Led Bib and the Gulbenkian Foundation. Alongside classic self-initiated TDR(tm) projects, the 512-page book features an A to Z of everything from campaigns for Evolution Print, Coca-Cola and Nike, through to the studio's celebrated designs for video games such as Wipeout and Formula Fusion.  TDR(tm)'s special relationship with print is explored through its celebrated contributions to IDEA and Emigre magazines and its 3D>2D book, alongside its work for Manchester School of Art, Gatecrasher, NY Sushi and the studio's array of music clients. Here, TDR(tm)'s work with Autechre is examined via ten key releases, while the studio's involvement with Pop Will Eat Itself focuses on some twenty-eight different singles and albums. There are also expansive sections devoted to TDR(tm)'s designs for Aphex Twin, Moloko, Sun Electric and The Orb, alongside sleeve designs for R&S Records, New Atlantis, a range of Berlin-based labels and, of course, Warp Records.;1734;Edition of 500, ;2
1735;Oooh Ah TDR;"Anderson, Ian\\; Mark Sinclair";2019;Softcover, Perfect-bound;Unit Editions;The Designers Republic;Like New;200;Aaron & Tina's;Graphic Design, Typography, Monograph;1;196;N;NULL;1735;Edition of 500. Companion book to ;2
1736;Sheila Hicks: Weaving as Metaphor;"Stritzler-Levine, Nina\\; Arthur C. Danto, Joan Simon";2006;Hardcover;Yale University Press;"Hicks, Sheila\\; Irma Boom";Like New;200;Aaron & Tina's;Art, Fine-Art, Monograph, Textile, Patterns;2.55;416;9;NULL;1736;Gorgeous book, page edges are raw and torn creating the illusion of soft fabric when the book is closed. ;2
1737;Isaac Newton’s Principia;Newton, Isaac;2018;Paperback (Set of 3 books + casing);Kronecker Wallis;Guarro, Laia;Like New;200;Aaron & Tina's;Science, Experiments, History;1.5;NULL;N;NULL;1737;Second Printing, limited edition. ;2
1751;Tibor Kalman: Perverse Optimist;Bierut, Michael;1998;Hardcover;Princeton Architectural Press;Bierut, Michael;Very Good;100;Aaron & Tina's;Graphic Design, Monograph;3.4;420;9;The art direction of the late Tibor Kalman during the 1980s and 1990s never failed to question, challenge and provoke his audience. Creator of the successful advertising and graphic design company M&Co., creative director of Interview and founding editor of the controversial though highly acclaimed Bennetton magazine Colors, Kalman is known for applying commercial techniques to issues that matter. With essays by Steve Heller, Kurt Andersen and Rick Poynor, this text presents and analyzes the work of Kalman. It should be useful for professionals and students from the related industries of design, media and advertising, and to all those interested in the controversial possibilities of graphic authorship in the 20th century.;1751;NULL;2
1752;Ed Templeton: Wayward Cognitions;Templeton, Ed;2014;Hardcover;Um Yeah Arts;Templeton, Ed;Like New;60;Aaron & Tina's;Photography, Culture;2.02;160;9;"Wayward Cognitions is a collection of photographs by Ed Templeton (born 1972), chosen from his archives spanning 20 years. For this volume, Templeton selected photographs that do not fit into his usual manner of organizing by theme or subject. In past publications he has arranged his work in straightforward groupings such as Teenage Kissers, Teenage Smokers, or photographs shot from a moving car (as in his book The Seconds Pass). In Deformer he presented the photographs under the theme of suburbia. Wayward Cognitions represents the in-between moments that arise when shooting in the streets without theme or subject. \"It's about looking, people watching, finding pleasure in the visual vignettes we glimpse each day,\" says Templeton. When those moments are removed from the context in which they were shot, dynamic stories can be told or imagined in book form. The photographs in Wayward Cognitions were printed by Templeton in his darkroom\\; he then created the layout and design himself, building the book from scratch in his home studio.";1752;NULL;2
101;Amy Vanderbilt Complete Book of Etiquette, The;Vanderbilt, Amy;1978;Hardcover w/ jacket;Doubleday;NULL;Used, Good Condition;30;Aaron's Place;Reference;NULL;NULL;N;NULL;101;NULL;2
1753;Taking a Line for a Walk: Assignments in design education;Various;2016;Paperback;Spector Books;Various;Like New;500;Aaron & Tina's;Design History, Graphic Design;1.7;272;9;Taking a Line for a Walk brings attention to something that is often neglected: the assignment as a pedagogical element and verbal artefact of design education. This book is a compendium of 224 assignments, edited by Nina Paim and coedited by Emilia Bergmark. A reference book for educators, researchers, and students alike, it includes both contemporary and historical examples and offers a space for different lines of design pedagogy to converge and converse. An accompanying essay by Corinne Gisel takes a closer look at the various forms assignments can take and the educational contexts they exist within. Taking a Line for a Walk derived from an exhibition of the same name at the International Biennial of Graphic Design Brno 2014.;1753;Features a few former instructors of Aaron.;2
1754;Illustrating Nature. The World Through the Eyes of Alexander von Humboldt;Kronecker Wallis;2018;Hardcover;Kronecker Wallis;Von Humboldt, Alexander;Like New;500;Aaron & Tina's;Illustration, Animals, Art, Nature, Design, Science;3;295;9;Illustrating Nature. The World Through the Eyes of Alexander von Humboldt is a visual travel companion, following the discoveries of one of the world’s greatest scientists. It is our recognition of the wonderful world that Humboldt drew. Around 300 representative drawings aiming to illustrate the worldview of a modern scientist whose inner impulse was to conceive nature as a whole, moved and enlivened by inner forces.  The compilation is bound in a little formal collection, in which there are different types of paper, different textures, different measurements… that help to differentiate the sections, transmit sensations and make a representative product of our way of understanding how it feels for someone who loves books.;1754;Rare, First Edition. ;2
1755;Manuals 1: Design & Identity Guidelines;"Shaughnessy, Adrian\\; Tony Brook, Sarah Schrauwen";2014;Hardcover with jacket;Unit Editions;Various;Like New;600;Aaron & Tina's;Graphic Design, Typography, Compilation, Identity, Branding;5;432;9;This book is the first comprehensive study of corporate identity design manuals, and features 20 examples from the 1960s to early 1980s – the golden era of identity design. The book includes manuals created for institutions and corporations such as NASA, Lufthansa and British Steel.  All of the manuals have been lovingly photographed, and presented in a spacious and functional layout, allowing the observer to fully appreciate these wonderful examples of information design at its best. Manuals 1 is printed in Italy, conforming to the highest production standards.  Foreword by Massimo Vignelli and texts from Adrian Shaughnessy, NASA designer Richard Danne, Greg D’Onofrio and Patricia Belen (Display), Armin Vit (Under Consideration), Sean Perkins (North) and John Lloyd.;1755;NULL;2
1761;Pentagram: Living by Design;Shaughnessy, Adrian;2022;Softcover + Slipcase (set of 2 books);Thames & Hudson;Various;Like New;186;Aaron & Tina's;Graphic Design, Typography, Compilation, Monograph;8;1392;9;Five years in the making, Pentagram: Living by Design (two volumes) is the definitive statement on fifty years of Pentagram, and an in-depth survey of the group from its beginnings in 1970s London to its current status as one of the powerhouses of international design.  Book one, The Biography, offers a comprehensive analysis of the group, its partners, its achievements, its multidisciplinary approach and its unique business model. This is accompanied by a plethora of images (some never published), a visual essay of Pentagram's work across four main sectors, a selection of partners' writings, a Pentagram family tree, and much more.  Book two, The Directory, has profiles of fifty partners, past and present, accompanied by extensive coverage of their work. It's a stellar roll call: from the five famous founders to some of the most celebrated names in contemporary design. It also includes a list of everyone who worked in the firm's various offices.  Both books are designed by Tony Brook and the Spin design team.;1761;Not the unit editions version.;2
1762;Bicycle Landscape: Why the Netherlands Looks Like This;Kluitman, Yorit;2018;Hardcover with jacket;nai010;Kluitman, Yorit;Like New;75;Aaron & Tina's;Photography, Culture, Monograph;3.85;287;9;Dutch graphic designer Yorit Kluitman (born 1980) cycled through all of the Netherlands’ 388 municipalities, photographing the empty landscape he found en route. Kluitman's photographs, along with contributions by landscape architect Adriaan Geuze and former Rijksmuseum director Wim Pijbes, pay tribute to the Dutch landscape.;1762;NULL;2
1763;Print: A Quarterly Journal of the Graphic Arts (Volume 1, Issue 1);Various;1940;Paperback;William Edwin Rudge, Publisher, Inc.;Various;Good;0;Aaron & Tina's;Graphic Design, Typography, Compilation, Magazine, Publication;NULL;NULL;N;NULL;1763;Very first issue of this publication. Rare.;2
1764;A Beautiful Catastrophe;Gilden, Bruce;2005;Hardcover;powerHouse Books;Gilden, Bruce;Good;70;Aaron & Tina's;Photography, Culture, Monograph;2.33;144;9;New York City, the unique metropolis that Le Corbusier has called “a beautiful catastrophe,” is a natural home to Bruce Gilden. Since 1981, Gilden has been roaming the streets of the city, capturing its characters and eccentricities with his confrontational, highly energetic style and exuberant vision. In his new opus, A Beautiful Catastrophe, Magnum photographer Bruce Gilden celebrates a trademark style with abandon, firmly ensconcing him in the pantheon of New York City street poets.;1764;NULL;2
